Measure	DAX Expression	Parent	Child	Tables	Columns
Vol FC	 VAR CY = [Sel_Year] RETURN     CALCULATE (         DIVIDE ( SUM ( 'Historical_Input date'[Value] ), 1000, BLANK () ),         'Historical_Input date'[KPI] = "Volumes"             && YEAR ( 'Historical_Input date'[Forecast Month] ) = CY     )	Sel_Year		DT_Date; Historical_Input date; Historical	DT_Date[Year]; Historical[Input Date]; Historical[Forecast Month]; Historical[Value]; Historical[KPI]; Historical[SBU]; Historical_Input date[Value]; Historical_Input date[KPI]; Historical_Input date[Forecast Month]
Vol PY	 VAR PY =     MAX ( DT_Date[Year] ) - 1 VAR VOL_PY =     CALCULATE (         SUM ( FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[Standard_Quantity_KG] ),         ALL ( DT_Date[Month_short], DT_Date[Year] ),         DT_Date[Year] = PY     ) / 1000000 RETURN     VOL_PY			DT_Date; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	DT_Date[Year]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; DT_Date[Month_short]
Vol YTD	 CALCULATE ( [Total Vol Ocean], DATESYTD ( DT_Date[Date] ) )	Total Vol Ocean	ΔPY Volumes	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Date	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; DT_Date[Date]
ΔPY Volumes	 VAR PY = [Sel_Year] - 1 VAR VolPY =     CALCULATE (         [Total Vol Ocean],         ALL ( DT_Date ),         YEAR ( FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[Calendar_Year_Month] ) = PY     ) RETURN     [Vol YTD] - VolPY	Sel_Year; Total Vol Ocean; Vol YTD		DT_Date; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	DT_Date[Year]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[CALENDAR_YEAR_MONTH]; DT_Date[Date]
Average QTD_	 VAR qua =     QUARTER ( FIRSTDATE ( DT_Date[Date] ) ) RETURN     CALCULATE (         AVERAGE ( 'FT_Transfer_Prices'[Value] ),         'FT_Transfer_Prices'[Quarter] = qua     ) 		Average Δ  Price_	DT_Date; FT_Transfer_Prices	DT_Date[Date]; FT_Transfer_Prices[Value]; FT_Transfer_Prices[Quarter]; FT_Transfer_Prices[Forecast Date]
Average Transfer Price NEXTQTD_	 CALCULATE (     AVERAGE ( 'FT_Transfer_Prices'[Value] ),     USERELATIONSHIP ( DT_Date[Date], FT_Transfer_Prices[Forecast Date] ),     NEXTQUARTER ( DT_Date[Date] ) )		Average Δ  Price_	FT_Transfer_Prices; DT_Date	FT_Transfer_Prices[Value]; DT_Date[Date]; FT_Transfer_Prices[Forecast Date]
Average Δ  Price_	 DIVIDE ( [Average Transfer Price NEXTQTD_], [Average QTD_] ) - 1	Average Transfer Price NEXTQTD_; Average QTD_		FT_Transfer_Prices; DT_Date	FT_Transfer_Prices[Value]; DT_Date[Date]; FT_Transfer_Prices[Forecast Date]; FT_Transfer_Prices[Quarter]
FC Transfer Price_	 // VAR seldate = //     DATE ( SELECTEDVALUE ( DT_Date[Year] ), SELECTEDVALUE ( DT_Date[Month_Number] ), 1 ) // VAR selmonth = //     FILTER ( //         'FT_Transfer_Prices', //         MONTH ( 'FT_Transfer_Prices'[Forecast Date] ) >= MONTH ( seldate ) //     ) // VAR selyear = //     FILTER ( //         'FT_Transfer_Prices', //         YEAR ( 'FT_Transfer_Prices'[Forecast Date] ) = YEAR ( seldate ) //     ) // RETURN //     CALCULATE ( SUM ( 'FT_Transfer_Prices'[Value] ), selmonth, selyear ) VAR selMonth = SELECTEDVALUE('DT_Date'[Month_Number]) VAR selYear = SELECTEDVALUE('DT_Date'[Year]) VAR lastMonth = LASTDATE('DT_Date'[Date]) RETURN CALCULATE ( SUM ( 'FT_Transfer_Prices'[Value] ), FT_Transfer_Prices[Forecast Date] > lastMonth) 			DT_Date; FT_Transfer_Prices	DT_Date[Month_Number]; DT_Date[Year]; DT_Date[Date]; FT_Transfer_Prices[Value]; FT_Transfer_Prices[Forecast Date]
Next Quarter	 IF ( [Selected Quarter] = 4, 1, [Selected Quarter] + 1 )	Selected Quarter		DT_Date	DT_Date[Year]; DT_Date[Month_Number]
Selected Quarter	 QUARTER (     DATE ( SELECTEDVALUE ( DT_Date[Year] ), SELECTEDVALUE ( DT_Date[Month_Number] ), 1 ) )		Next Quarter	DT_Date	DT_Date[Year]; DT_Date[Month_Number]
0_TEST	CALCULATE ( [Ebit_0_FC], KEEPFILTERS ( Historical[KPI] = "Volumes" ) )	Ebit_0_FC	2_TEST	Historical	Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]
1_TEST	SUM ( FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[Standard_Quantity_KG] ) / 1000000 			FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]
2_TEST	 VAR MonthSel =     SELECTEDVALUE ( DT_Date[Month_Number] ) RETURN     CALCULATE (         CALCULATE (             [0_TEST],             ALL ( DT_Date[Month_Name] ),             KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Volume" )         ),         DT_Date[Month_Number] > MonthSel     ) 	0_TEST; Ebit_0_FC		DT_Date; Historical; DT_Matrix_Act_Table_ND	DT_Date[Month_Number]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]; DT_Date[Month_Name]; DT_Matrix_Act_Table_ND[KPI]
TEST	[FYFC_CM_0_(for PM comp.)] - [FYFC_0_PM] 	FYFC_CM_0_(for PM comp.); Volume_effect_FYFC_1_CM(for PM comp.); Volume_FYFC_0_CM; Matrix_0_Act; Maris_0_Act; Matrix_1_FC; Ebit_0_FC; CM1/kg_FYFC_0_PM_VolumeCalc; CM1_effect_FYFC_0_PM; Volume_FYFC_0_PM; Price_effect_FYFC_1_CM(for PM comp.); Price_FYFC_0_CM; FixedCost_effect_FYFC_0_CM; CM1_effect_FYFC_0_CM; VarCost_effect_FYFC_0_CM(for PM comp.); CM1/kg_FYFC_0_PM_VarCostCalc; EBITbSI_effect_FYFC_0_CM; FYFC_0_PM; Volume_effect_FYFC_1_PM; Price_effect_FYFC_1_PM; Price_FYFC_0_PM; FixedCost_effect_FYFC_1_PM; VarCost_effect_FYFC_0_PM; EBITbSI_effect_1_FYFC (Act till PM); Matrix_1_FC_Previous; EBITbSI_0_FC_Previous		DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; Historical	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Month_Name]; Historical[Value]; Historical[LatestInput_ND]; Historical[Forecast Month]; Historical[Input Date]; Historical[KPI]; DT_Date[Month_short]; DT_Date[Year]; Historical[check]; DT_Date[Date]; Historical[Input_Date_for_PM]
Total by Month 1	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month1] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month1; Days_Month2	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH1]
Total by Month 2	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month2] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month2; Days_Month3	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH2]
Total by Month 3	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month3] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month3; Days_Month4	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH3]
Total by Month 4	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month4] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month4; Days_Month5	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH4]
Total by Month 5	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month5] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month5; Days_Month6	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH5]
Total by Month 6	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month6] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month6; Days_Month7	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH6]
Total by Month 7	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month7] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month7; Days_Month8	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH7]
Total by Month 8	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month8] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month8; Days_Month9	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH8]
Total by Month 9	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month9] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month9; Days_Month10	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH9]
Total by Month 10	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month10] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month10; Days_Month11	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH10]
Total by Month 11	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month11] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month11; Days_Month12	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH11]
Total by Month 12	 SUMX ( FT_CARAT_GROSS_SALES, FT_CARAT_GROSS_SALES[Month12] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month12	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH12]
Total Gross Saless CM	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_CURR_MONTH] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month1	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_CURR_MONTH]
Total Gross Saless Month-1	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M1] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month2	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M1]
Total Gross Saless Month-2	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M2] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month3	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M2]
Total Gross Saless Month-3	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M3] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month4	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M3]
Total Gross Saless Month-4	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M4] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month5	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M4]
Total Gross Saless Month-5	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M5] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month6	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M5]
Total Gross Saless Month-6	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M6] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month7	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M6]
Total Gross Saless Month-7	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M7] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month8	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M7]
Total Gross Saless Month-8	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M8] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month9	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M8]
Total Gross Saless Month-9	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M9] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month10	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M9]
Total Gross Saless Month-10	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M10] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month11	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M10]
Total Gross Saless Month-11	 SUM ( FT_CARAT_GROSS_SALES[GROSS_SALES_M11] )		DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO; Days_Month12	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[GROSS_SALES_M11]
Days_Month1	 IF (     ( [Total by Month 1] > 0 ),     30,     (         DIVIDE ( SUM ( FT_CARAT_GROSS_SALES[TOTAL_AR] ), [Total Gross Saless CM] ) * 30     ) )	Total by Month 1; Total Gross Saless CM	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH1]; FT_CARAT_GROSS_SALES[TOTAL_AR]; FT_CARAT_GROSS_SALES[GROSS_SALES_CURR_MONTH]
Days_Month2	 IF (     ( [Total by Month 2] > 0 ),     30,     ( DIVIDE ( [Total by Month 1], [Total Gross Saless Month-1] ) * 30 ) )	Total by Month 2; Total by Month 1; Total Gross Saless Month-1	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH2]; FT_CARAT_GROSS_SALES[MONTH1]; FT_CARAT_GROSS_SALES[GROSS_SALES_M1]
Days_Month3	 IF (     ( [Total by Month 3] > 0 ),     30,     ( DIVIDE ( [Total by Month 2], [Total Gross Saless Month-2] ) * 30 ) )	Total by Month 3; Total by Month 2; Total Gross Saless Month-2	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH3]; FT_CARAT_GROSS_SALES[MONTH2]; FT_CARAT_GROSS_SALES[GROSS_SALES_M2]
Days_Month4	 IF (     ( [Total by Month 4] > 0 ),     30,     ( DIVIDE ( [Total by Month 3], [Total Gross Saless Month-3] ) * 30 ) )	Total by Month 4; Total by Month 3; Total Gross Saless Month-3	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH4]; FT_CARAT_GROSS_SALES[MONTH3]; FT_CARAT_GROSS_SALES[GROSS_SALES_M3]
Days_Month5	 IF (     ( [Total by Month 5] > 0 ),     30,     ( DIVIDE ( [Total by Month 4], [Total Gross Saless Month-4] ) * 30 ) )	Total by Month 5; Total by Month 4; Total Gross Saless Month-4	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH5]; FT_CARAT_GROSS_SALES[MONTH4]; FT_CARAT_GROSS_SALES[GROSS_SALES_M4]
Days_Month6	 IF (     ( [Total by Month 6] > 0 ),     30,     ( DIVIDE ( [Total by Month 5], [Total Gross Saless Month-5] ) * 30 ) )	Total by Month 6; Total by Month 5; Total Gross Saless Month-5	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH6]; FT_CARAT_GROSS_SALES[MONTH5]; FT_CARAT_GROSS_SALES[GROSS_SALES_M5]
Days_Month7	 IF (     ( [Total by Month 7] > 0 ),     30,     ( DIVIDE ( [Total by Month 6], [Total Gross Saless Month-6] ) * 30 ) )	Total by Month 7; Total by Month 6; Total Gross Saless Month-6	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH7]; FT_CARAT_GROSS_SALES[MONTH6]; FT_CARAT_GROSS_SALES[GROSS_SALES_M6]
Days_Month8	 IF (     ( [Total by Month 8] > 0 ),     30,     ( DIVIDE ( [Total by Month 7], [Total Gross Saless Month-7] ) * 30 ) )	Total by Month 8; Total by Month 7; Total Gross Saless Month-7	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH8]; FT_CARAT_GROSS_SALES[MONTH7]; FT_CARAT_GROSS_SALES[GROSS_SALES_M7]
Days_Month9	 IF (     ( [Total by Month 9] > 0 ),     30,     ( DIVIDE ( [Total by Month 8], [Total Gross Saless Month-8] ) * 30 ) )	Total by Month 9; Total by Month 8; Total Gross Saless Month-8	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH9]; FT_CARAT_GROSS_SALES[MONTH8]; FT_CARAT_GROSS_SALES[GROSS_SALES_M8]
Days_Month10	 IF (     ( [Total by Month 10] > 0 ),     30,     ( DIVIDE ( [Total by Month 9], [Total Gross Saless Month-9] ) * 30 ) )	Total by Month 10; Total by Month 9; Total Gross Saless Month-9	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH10]; FT_CARAT_GROSS_SALES[MONTH9]; FT_CARAT_GROSS_SALES[GROSS_SALES_M9]
Days_Month11	 IF (     ( [Total by Month 11] > 0 ),     30,     ( DIVIDE ( [Total by Month 10], [Total Gross Saless Month-10] ) * 30 ) )	Total by Month 11; Total by Month 10; Total Gross Saless Month-10	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH11]; FT_CARAT_GROSS_SALES[MONTH10]; FT_CARAT_GROSS_SALES[GROSS_SALES_M10]
Days_Month12	 IF (     ( [Total by Month 12] > 0 ),     30,     ( DIVIDE ( [Total by Month 11], [Total Gross Saless Month-11] ) * 30 ) )	Total by Month 12; Total by Month 11; Total Gross Saless Month-11	DSO Smoothed; DSO PIT; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[MONTH12]; FT_CARAT_GROSS_SALES[MONTH11]; FT_CARAT_GROSS_SALES[GROSS_SALES_M11]
CountMonth	 CALCULATE (     DISTINCTCOUNT ( FT_CARAT_GROSS_SALES[CALENDAR_DATE] ),     FILTER (         ALL ( FT_CARAT_GROSS_SALES ),         FT_CARAT_GROSS_SALES[CALENDAR_DATE]             <= MAX ( FT_CARAT_GROSS_SALES[CALENDAR_DATE] )     ) )		DSO Smoothed; DSO Smoothed Δ PY; AoB DSO	FT_CARAT_GROSS_SALES	FT_CARAT_GROSS_SALES[CALENDAR_DATE]
MARIS EBITDA	 CALCULATE (     SUM ( FT_MARIS_VW[VALUE_EUR] ),     FT_MARIS_VW,     FT_MARIS_VW[ITEM_KEY] = "4800023" ) / 1000		NCC EBITDA YTD	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]
MARIS A/R Adj.	 CALCULATE (     SUM ( FT_MARIS_VW[VALUE_EUR] ),     FT_MARIS_VW,     FT_MARIS_VW[ITEM_KEY] = "K170053" ) / 1000		NCC A/R YTD	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]
MARIS CapEx	 CALCULATE (     SUM ( FT_MARIS_VW[VALUE_EUR] ),     FT_MARIS_VW,     FT_MARIS_VW[ITEM_KEY] = "K963503" ) / 1000		NCC CAPEX YTD	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]
MARIS Inventories Adj.	 CALCULATE (     SUM ( FT_MARIS_VW[VALUE_EUR] ),     FT_MARIS_VW,     FT_MARIS_VW[ITEM_KEY] = "K160053" ) / 1000		NCC Inventories Adj. YTD	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]
MARIS Net Cash Contribution	 CALCULATE (     SUM ( FT_MARIS_VW[VALUE_EUR] ),     FT_MARIS_VW,     FT_MARIS_VW[ITEM_KEY] = "K963003" ) / 1000		Net Cash Contribution PYD; Net Cash Contribution YTD; NCC Δ from PY; NCC Target Delta	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]
MARIS Others	 CALCULATE (     SUM ( FT_MARIS_VW[VALUE_EUR] ),     FT_MARIS_VW,     FT_MARIS_VW[ITEM_KEY] = "K963203" ) / 1000		NCC Others YTD	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]
NCC EBITDA YTD	 CALCULATE ( [MARIS EBITDA], DATESYTD ( DT_Date[Date] ) )	MARIS EBITDA		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
NCC A/R YTD	 CALCULATE ( [MARIS A/R Adj.], DATESYTD ( DT_Date[Date] ) )	MARIS A/R Adj.		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
NCC Inventories Adj. YTD	 CALCULATE ( [MARIS Inventories Adj.], DATESYTD ( DT_Date[Date] ) )	MARIS Inventories Adj.		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
NCC CAPEX YTD	 CALCULATE ( [MARIS CapEx], DATESYTD ( DT_Date[Date] ) )	MARIS CapEx		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
NCC Others YTD	 CALCULATE ( [MARIS Others], DATESYTD ( DT_Date[Date] ) )	MARIS Others		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
Net Cash Contribution PYD	 CALCULATE ( [Net Cash Contribution YTD], DATEADD ( DT_Date[Date], -1, YEAR ) )	Net Cash Contribution YTD; MARIS Net Cash Contribution	NCC Δ from PY	FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
Net Cash Contribution YTD	 CALCULATE ( [MARIS Net Cash Contribution], DATESYTD ( DT_Date[Date] ) )	MARIS Net Cash Contribution	Net Cash Contribution PYD; NCC Δ from PY; NCC Target Delta	FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
NCC Δ from PY	[Net Cash Contribution YTD] - [Net Cash Contribution PYD]	Net Cash Contribution YTD; MARIS Net Cash Contribution; Net Cash Contribution PYD		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
NCC Target FY	 VAR NCCTarget =     TOTALYTD (         SUM ( FT_Budget_EPME[Value] ),         DT_Date[Date],         FT_Budget_EPME[KPI] = "NCC"     ) RETURN     NCCTarget		NCC Target Delta	FT_Budget_EPME; DT_Date	FT_Budget_EPME[Value]; DT_Date[Date]; FT_Budget_EPME[KPI]
NCC Target Delta	[Net Cash Contribution YTD] - [NCC Target FY]	Net Cash Contribution YTD; MARIS Net Cash Contribution; NCC Target FY		FT_MARIS_VW; DT_Date; FT_Budget_EPME	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]
Overdue Quota	 VAR OverdueQuota_graph =     CALCULATE (         DIVIDE (             SUM ( FT_CARAT_Overdue[OVERDUE] ),             SUM ( FT_CARAT_Overdue[TOTAL_AR] ),             BLANK ()         ),         FILTER (             ALL ( DT_Date[Date], DT_Date[M_YYYY], DT_Date[Year] ),             DT_Date[Date]                 >= ( MAX ( DT_Date[Date] ) - 397 )                 && DT_Date[Year] <= YEAR ( MAX ( DT_Date[Date] ) )         )     ) RETURN     OverdueQuota_graph			FT_CARAT_Overdue; DT_Date	FT_CARAT_Overdue[OVERDUE]; FT_CARAT_Overdue[TOTAL_AR]; DT_Date[Date]; DT_Date[M_YYYY]; DT_Date[Month_Number]; DT_Date[Year]
Overdues	 //This step is to show the Overdue for the last two years according to the slicer. The month will run from the last 2 years to the end of the year VAR TotalOverdue_graph =     CALCULATE (         SUM ( FT_CARAT_Overdue[OVERDUE] ),         FILTER (             ALL ( DT_Date[Date], DT_Date[M_YYYY], DT_Date[Year] ),             DT_Date[Date]                 >= ( MAX ( DT_Date[Date] ) - 397 )                 && DT_Date[Year] <= YEAR ( MAX ( DT_Date[Date] ) )         )     ) VAR Overdue_graph =     DIVIDE ( TotalOverdue_graph, 1000000, BLANK () ) RETURN     Overdue_graph			FT_CARAT_Overdue; DT_Date	FT_CARAT_Overdue[OVERDUE]; DT_Date[Date]; DT_Date[M_YYYY]; DT_Date[Month_Number]; DT_Date[Year]
